"parameter","mean","sd","pt","group","model"
"alpha",0.112,0.007,58,"All","eRL"
"cs",0.131,0.008,58,"All","eRL"
"E0",0.093,0.005,58,"All","eRL"
"eta",0.005,0.001,58,"All","eRL"
"gam",0.049,0.005,58,"All","eRL"
"alpha",0.113,0.007,59,"All","eRL"
"cs",0.131,0.008,59,"All","eRL"
"E0",0.093,0.006,59,"All","eRL"
"eta",0.005,0.001,59,"All","eRL"
"gam",0.049,0.005,59,"All","eRL"
"alpha",0.113,0.006,60,"All","eRL"
"cs",0.129,0.009,60,"All","eRL"
"E0",0.092,0.006,60,"All","eRL"
"eta",0.005,0.001,60,"All","eRL"
"gam",0.049,0.005,60,"All","eRL"
"alpha",0.112,0.007,61,"All","eRL"
"cs",0.131,0.008,61,"All","eRL"
"E0",0.093,0.006,61,"All","eRL"
"eta",0.005,0.001,61,"All","eRL"
"gam",0.049,0.005,61,"All","eRL"
"alpha",0.114,0.006,62,"All","eRL"
"cs",0.13,0.007,62,"All","eRL"
"E0",0.092,0.005,62,"All","eRL"
"eta",0.005,0.001,62,"All","eRL"
"gam",0.048,0.005,62,"All","eRL"
"alpha",0.113,0.007,63,"All","eRL"
"cs",0.13,0.008,63,"All","eRL"
"E0",0.092,0.005,63,"All","eRL"
"eta",0.005,0.001,63,"All","eRL"
"gam",0.049,0.005,63,"All","eRL"
"alpha",0.112,0.006,64,"All","eRL"
"cs",0.131,0.008,64,"All","eRL"
"E0",0.093,0.005,64,"All","eRL"
"eta",0.005,0.001,64,"All","eRL"
"gam",0.049,0.004,64,"All","eRL"
"alpha",0.112,0.006,65,"All","eRL"
"cs",0.131,0.008,65,"All","eRL"
"E0",0.093,0.005,65,"All","eRL"
"eta",0.005,0,65,"All","eRL"
"gam",0.049,0.004,65,"All","eRL"
"alpha",0.113,0.006,66,"All","eRL"
"cs",0.13,0.008,66,"All","eRL"
"E0",0.093,0.005,66,"All","eRL"
"eta",0.005,0.001,66,"All","eRL"
"gam",0.05,0.004,66,"All","eRL"
"alpha",0.105,0.003,67,"All","eRL"
"cs",0.126,0.003,67,"All","eRL"
"E0",0.091,0.004,67,"All","eRL"
"eta",0.005,0,67,"All","eRL"
"gam",0.051,0.004,67,"All","eRL"
"alpha",0.112,0.006,68,"All","eRL"
"cs",0.131,0.007,68,"All","eRL"
"E0",0.093,0.005,68,"All","eRL"
"eta",0.005,0,68,"All","eRL"
"gam",0.049,0.004,68,"All","eRL"
"alpha",0.113,0.006,69,"All","eRL"
"cs",0.131,0.007,69,"All","eRL"
"E0",0.092,0.005,69,"All","eRL"
"eta",0.005,0,69,"All","eRL"
"gam",0.049,0.004,69,"All","eRL"
"alpha",0.113,0.004,70,"All","eRL"
"cs",0.129,0.006,70,"All","eRL"
"E0",0.093,0.004,70,"All","eRL"
"eta",0.005,0.001,70,"All","eRL"
"gam",0.05,0.004,70,"All","eRL"
"alpha",0.111,0.006,71,"All","eRL"
"cs",0.133,0.007,71,"All","eRL"
"E0",0.095,0.006,71,"All","eRL"
"eta",0.005,0,71,"All","eRL"
"gam",0.05,0.002,71,"All","eRL"
"alpha",0.112,0.005,72,"All","eRL"
"cs",0.131,0.007,72,"All","eRL"
"E0",0.093,0.004,72,"All","eRL"
"eta",0.005,0,72,"All","eRL"
"gam",0.049,0.004,72,"All","eRL"
"alpha",0.113,0.005,73,"All","eRL"
"cs",0.131,0.006,73,"All","eRL"
"E0",0.093,0.004,73,"All","eRL"
"eta",0.005,0,73,"All","eRL"
"gam",0.048,0.004,73,"All","eRL"
"alpha",0.113,0.005,74,"All","eRL"
"cs",0.132,0.008,74,"All","eRL"
"E0",0.093,0.004,74,"All","eRL"
"eta",0.005,0,74,"All","eRL"
"gam",0.049,0.004,74,"All","eRL"
"alpha",0.113,0.006,75,"All","eRL"
"cs",0.131,0.007,75,"All","eRL"
"E0",0.092,0.004,75,"All","eRL"
"eta",0.005,0,75,"All","eRL"
"gam",0.049,0.003,75,"All","eRL"
"alpha",0.113,0.005,76,"All","eRL"
"cs",0.131,0.006,76,"All","eRL"
"E0",0.093,0.004,76,"All","eRL"
"eta",0.005,0,76,"All","eRL"
"gam",0.049,0.003,76,"All","eRL"
"alpha",0.113,0.005,77,"All","eRL"
"cs",0.13,0.007,77,"All","eRL"
"E0",0.093,0.003,77,"All","eRL"
"eta",0.005,0,77,"All","eRL"
"gam",0.049,0.003,77,"All","eRL"
"alpha",0.113,0.005,78,"All","eRL"
"cs",0.131,0.006,78,"All","eRL"
"E0",0.093,0.004,78,"All","eRL"
"eta",0.005,0,78,"All","eRL"
"gam",0.049,0.003,78,"All","eRL"
"alpha",0.113,0.005,79,"All","eRL"
"cs",0.131,0.006,79,"All","eRL"
"E0",0.093,0.003,79,"All","eRL"
"eta",0.005,0,79,"All","eRL"
"gam",0.049,0.004,79,"All","eRL"
"alpha",0.113,0.005,80,"All","eRL"
"cs",0.131,0.006,80,"All","eRL"
"E0",0.093,0.004,80,"All","eRL"
"eta",0.005,0,80,"All","eRL"
"gam",0.049,0.003,80,"All","eRL"
"alpha",0.113,0.004,81,"All","eRL"
"cs",0.131,0.005,81,"All","eRL"
"E0",0.093,0.003,81,"All","eRL"
"eta",0.005,0,81,"All","eRL"
"gam",0.05,0.003,81,"All","eRL"
"alpha",0.113,0.004,82,"All","eRL"
"cs",0.131,0.005,82,"All","eRL"
"E0",0.093,0.003,82,"All","eRL"
"eta",0.005,0,82,"All","eRL"
"gam",0.049,0.003,82,"All","eRL"
"alpha",0.113,0.004,83,"All","eRL"
"cs",0.131,0.005,83,"All","eRL"
"E0",0.093,0.003,83,"All","eRL"
"eta",0.005,0,83,"All","eRL"
"gam",0.049,0.003,83,"All","eRL"
"alpha",0.113,0.004,84,"All","eRL"
"cs",0.131,0.005,84,"All","eRL"
"E0",0.093,0.003,84,"All","eRL"
"eta",0.005,0,84,"All","eRL"
"gam",0.049,0.003,84,"All","eRL"
"alpha",0.112,0.004,85,"All","eRL"
"cs",0.131,0.005,85,"All","eRL"
"E0",0.093,0.003,85,"All","eRL"
"eta",0.005,0,85,"All","eRL"
"gam",0.049,0.003,85,"All","eRL"
"alpha",0.112,0.004,86,"All","eRL"
"cs",0.131,0.005,86,"All","eRL"
"E0",0.093,0.003,86,"All","eRL"
"eta",0.005,0,86,"All","eRL"
"gam",0.049,0.003,86,"All","eRL"
"alpha",0.113,0.004,87,"All","eRL"
"cs",0.131,0.004,87,"All","eRL"
"E0",0.093,0.003,87,"All","eRL"
"eta",0.005,0,87,"All","eRL"
"gam",0.049,0.003,87,"All","eRL"
"alpha",0.112,0.004,88,"All","eRL"
"cs",0.131,0.005,88,"All","eRL"
"E0",0.093,0.003,88,"All","eRL"
"eta",0.005,0,88,"All","eRL"
"gam",0.05,0.002,88,"All","eRL"
"alpha",0.115,0.003,89,"All","eRL"
"cs",0.13,0.003,89,"All","eRL"
"E0",0.094,0.002,89,"All","eRL"
"eta",0.005,0,89,"All","eRL"
"gam",0.051,0.002,89,"All","eRL"
"alpha",0.112,0.004,90,"All","eRL"
"cs",0.131,0.004,90,"All","eRL"
"E0",0.093,0.003,90,"All","eRL"
"eta",0.005,0,90,"All","eRL"
"gam",0.049,0.002,90,"All","eRL"
"alpha",0.113,0.003,91,"All","eRL"
"cs",0.131,0.004,91,"All","eRL"
"E0",0.093,0.003,91,"All","eRL"
"eta",0.005,0,91,"All","eRL"
"gam",0.049,0.003,91,"All","eRL"
"alpha",0.113,0.003,92,"All","eRL"
"cs",0.131,0.004,92,"All","eRL"
"E0",0.093,0.003,92,"All","eRL"
"eta",0.005,0,92,"All","eRL"
"gam",0.05,0.002,92,"All","eRL"
"alpha",0.113,0.003,93,"All","eRL"
"cs",0.131,0.004,93,"All","eRL"
"E0",0.093,0.003,93,"All","eRL"
"eta",0.005,0,93,"All","eRL"
"gam",0.049,0.002,93,"All","eRL"
"alpha",0.113,0.003,94,"All","eRL"
"cs",0.131,0.004,94,"All","eRL"
"E0",0.093,0.002,94,"All","eRL"
"eta",0.005,0,94,"All","eRL"
"gam",0.049,0.002,94,"All","eRL"
"alpha",0.113,0.003,95,"All","eRL"
"cs",0.131,0.003,95,"All","eRL"
"E0",0.093,0.002,95,"All","eRL"
"eta",0.005,0,95,"All","eRL"
"gam",0.05,0.002,95,"All","eRL"
"alpha",0.113,0.003,96,"All","eRL"
"cs",0.131,0.003,96,"All","eRL"
"E0",0.093,0.002,96,"All","eRL"
"eta",0.005,0,96,"All","eRL"
"gam",0.049,0.002,96,"All","eRL"
"alpha",0.113,0.003,97,"All","eRL"
"cs",0.131,0.003,97,"All","eRL"
"E0",0.093,0.002,97,"All","eRL"
"eta",0.005,0,97,"All","eRL"
"gam",0.049,0.002,97,"All","eRL"
"alpha",0.113,0.003,98,"All","eRL"
"cs",0.131,0.003,98,"All","eRL"
"E0",0.093,0.002,98,"All","eRL"
"eta",0.005,0,98,"All","eRL"
"gam",0.05,0.002,98,"All","eRL"
"alpha",0.113,0.002,99,"All","eRL"
