"parameter","mean","sd","pt","group","model"
"cs",0.146,0.015,44,"All","KF"
"E0",0.153,0.027,44,"All","KF"
"eta",0.118,0.01,44,"All","KF"
"psi",0.128,0.012,44,"All","KF"
"w0",0.178,0.017,44,"All","KF"
"xi",0.005,0.001,44,"All","KF"
"cs",0.145,0.016,45,"All","KF"
"E0",0.156,0.026,45,"All","KF"
"eta",0.117,0.01,45,"All","KF"
"psi",0.128,0.011,45,"All","KF"
"w0",0.179,0.018,45,"All","KF"
"xi",0.005,0.001,45,"All","KF"
"cs",0.146,0.016,46,"All","KF"
"E0",0.155,0.026,46,"All","KF"
"eta",0.116,0.009,46,"All","KF"
"psi",0.128,0.012,46,"All","KF"
"w0",0.18,0.018,46,"All","KF"
"xi",0.005,0.001,46,"All","KF"
"cs",0.146,0.014,47,"All","KF"
"E0",0.154,0.027,47,"All","KF"
"eta",0.117,0.009,47,"All","KF"
"psi",0.128,0.011,47,"All","KF"
"w0",0.178,0.016,47,"All","KF"
"xi",0.005,0.001,47,"All","KF"
"cs",0.139,0.007,48,"All","KF"
"E0",0.154,0.03,48,"All","KF"
"eta",0.113,0.007,48,"All","KF"
"psi",0.131,0.011,48,"All","KF"
"w0",0.169,0.013,48,"All","KF"
"xi",0.005,0.001,48,"All","KF"
"cs",0.145,0.014,49,"All","KF"
"E0",0.155,0.025,49,"All","KF"
"eta",0.117,0.009,49,"All","KF"
"psi",0.128,0.011,49,"All","KF"
"w0",0.179,0.016,49,"All","KF"
"xi",0.005,0.001,49,"All","KF"
"cs",0.145,0.014,50,"All","KF"
"E0",0.155,0.025,50,"All","KF"
"eta",0.117,0.009,50,"All","KF"
"psi",0.127,0.011,50,"All","KF"
"w0",0.179,0.015,50,"All","KF"
"xi",0.005,0.001,50,"All","KF"
"cs",0.145,0.014,51,"All","KF"
"E0",0.151,0.026,51,"All","KF"
"eta",0.117,0.009,51,"All","KF"
"psi",0.127,0.01,51,"All","KF"
"w0",0.178,0.014,51,"All","KF"
"xi",0.005,0.001,51,"All","KF"
"cs",0.146,0.015,52,"All","KF"
"E0",0.161,0.026,52,"All","KF"
"eta",0.117,0.008,52,"All","KF"
"psi",0.128,0.011,52,"All","KF"
"w0",0.18,0.015,52,"All","KF"
"xi",0.005,0.001,52,"All","KF"
"cs",0.147,0.014,53,"All","KF"
"E0",0.157,0.023,53,"All","KF"
"eta",0.117,0.008,53,"All","KF"
"psi",0.129,0.01,53,"All","KF"
"w0",0.179,0.014,53,"All","KF"
"xi",0.005,0.001,53,"All","KF"
"cs",0.146,0.013,54,"All","KF"
"E0",0.154,0.023,54,"All","KF"
"eta",0.118,0.009,54,"All","KF"
"psi",0.128,0.009,54,"All","KF"
"w0",0.179,0.014,54,"All","KF"
"xi",0.005,0.001,54,"All","KF"
"cs",0.147,0.012,55,"All","KF"
"E0",0.153,0.022,55,"All","KF"
"eta",0.119,0.009,55,"All","KF"
"psi",0.128,0.009,55,"All","KF"
"w0",0.179,0.014,55,"All","KF"
"xi",0.005,0.001,55,"All","KF"
"cs",0.144,0.013,56,"All","KF"
"E0",0.154,0.022,56,"All","KF"
"eta",0.117,0.008,56,"All","KF"
"psi",0.128,0.009,56,"All","KF"
"w0",0.18,0.014,56,"All","KF"
"xi",0.005,0.001,56,"All","KF"
"cs",0.146,0.012,57,"All","KF"
"E0",0.158,0.021,57,"All","KF"
"eta",0.118,0.007,57,"All","KF"
"psi",0.128,0.009,57,"All","KF"
"w0",0.178,0.014,57,"All","KF"
"xi",0.005,0.001,57,"All","KF"
"cs",0.144,0.012,58,"All","KF"
"E0",0.157,0.022,58,"All","KF"
"eta",0.117,0.009,58,"All","KF"
"psi",0.127,0.008,58,"All","KF"
"w0",0.181,0.013,58,"All","KF"
"xi",0.005,0.001,58,"All","KF"
"cs",0.145,0.012,59,"All","KF"
"E0",0.157,0.02,59,"All","KF"
"eta",0.117,0.007,59,"All","KF"
"psi",0.128,0.009,59,"All","KF"
"w0",0.18,0.013,59,"All","KF"
"xi",0.005,0.001,59,"All","KF"
"cs",0.145,0.011,60,"All","KF"
"E0",0.152,0.021,60,"All","KF"
"eta",0.117,0.007,60,"All","KF"
"psi",0.129,0.009,60,"All","KF"
"w0",0.179,0.013,60,"All","KF"
"xi",0.005,0.001,60,"All","KF"
"cs",0.146,0.011,61,"All","KF"
"E0",0.155,0.02,61,"All","KF"
"eta",0.117,0.007,61,"All","KF"
"psi",0.128,0.009,61,"All","KF"
"w0",0.179,0.013,61,"All","KF"
"xi",0.005,0.001,61,"All","KF"
"cs",0.146,0.011,62,"All","KF"
"E0",0.157,0.02,62,"All","KF"
"eta",0.118,0.007,62,"All","KF"
"psi",0.128,0.008,62,"All","KF"
"w0",0.179,0.012,62,"All","KF"
"xi",0.005,0.001,62,"All","KF"
"cs",0.145,0.011,63,"All","KF"
"E0",0.159,0.021,63,"All","KF"
"eta",0.117,0.007,63,"All","KF"
"psi",0.129,0.009,63,"All","KF"
"w0",0.179,0.012,63,"All","KF"
"xi",0.005,0.001,63,"All","KF"
"cs",0.146,0.011,64,"All","KF"
"E0",0.155,0.019,64,"All","KF"
"eta",0.117,0.007,64,"All","KF"
"psi",0.128,0.008,64,"All","KF"
"w0",0.179,0.012,64,"All","KF"
"xi",0.005,0.001,64,"All","KF"
"cs",0.145,0.011,65,"All","KF"
"E0",0.156,0.019,65,"All","KF"
"eta",0.117,0.007,65,"All","KF"
"psi",0.128,0.008,65,"All","KF"
"w0",0.179,0.012,65,"All","KF"
"xi",0.005,0.001,65,"All","KF"
"cs",0.145,0.009,66,"All","KF"
"E0",0.157,0.019,66,"All","KF"
"eta",0.118,0.007,66,"All","KF"
"psi",0.128,0.008,66,"All","KF"
"w0",0.179,0.011,66,"All","KF"
"xi",0.005,0.001,66,"All","KF"
"cs",0.144,0.01,67,"All","KF"
"E0",0.157,0.017,67,"All","KF"
"eta",0.118,0.006,67,"All","KF"
"psi",0.129,0.007,67,"All","KF"
"w0",0.179,0.011,67,"All","KF"
"xi",0.005,0.001,67,"All","KF"
"cs",0.146,0.01,68,"All","KF"
"E0",0.156,0.018,68,"All","KF"
"eta",0.118,0.006,68,"All","KF"
"psi",0.128,0.007,68,"All","KF"
"w0",0.179,0.011,68,"All","KF"
"xi",0.005,0.001,68,"All","KF"
"cs",0.146,0.01,69,"All","KF"
"E0",0.156,0.017,69,"All","KF"
"eta",0.118,0.006,69,"All","KF"
"psi",0.128,0.007,69,"All","KF"
"w0",0.179,0.011,69,"All","KF"
"xi",0.005,0.001,69,"All","KF"
"cs",0.146,0.01,70,"All","KF"
"E0",0.155,0.018,70,"All","KF"
"eta",0.117,0.006,70,"All","KF"
"psi",0.129,0.006,70,"All","KF"
"w0",0.179,0.011,70,"All","KF"
"xi",0.005,0.001,70,"All","KF"
"cs",0.146,0.01,71,"All","KF"
"E0",0.156,0.017,71,"All","KF"
"eta",0.117,0.005,71,"All","KF"
"psi",0.128,0.007,71,"All","KF"
"w0",0.18,0.011,71,"All","KF"
"xi",0.005,0.001,71,"All","KF"
"cs",0.145,0.01,72,"All","KF"
"E0",0.157,0.016,72,"All","KF"
"eta",0.117,0.006,72,"All","KF"
"psi",0.128,0.007,72,"All","KF"
"w0",0.179,0.01,72,"All","KF"
"xi",0.005,0.001,72,"All","KF"
"cs",0.146,0.01,73,"All","KF"
"E0",0.157,0.016,73,"All","KF"
"eta",0.117,0.006,73,"All","KF"
"psi",0.129,0.007,73,"All","KF"
"w0",0.179,0.01,73,"All","KF"
"xi",0.005,0.001,73,"All","KF"
"cs",0.146,0.009,74,"All","KF"
"E0",0.157,0.015,74,"All","KF"
"eta",0.117,0.005,74,"All","KF"
"psi",0.129,0.007,74,"All","KF"
"w0",0.179,0.01,74,"All","KF"
"xi",0.005,0.001,74,"All","KF"
"cs",0.146,0.009,75,"All","KF"
"E0",0.156,0.015,75,"All","KF"
"eta",0.117,0.006,75,"All","KF"
"psi",0.128,0.006,75,"All","KF"
"w0",0.179,0.01,75,"All","KF"
"xi",0.005,0.001,75,"All","KF"
"cs",0.145,0.008,76,"All","KF"
"E0",0.155,0.016,76,"All","KF"
"eta",0.117,0.005,76,"All","KF"
"psi",0.129,0.006,76,"All","KF"
"w0",0.179,0.01,76,"All","KF"
"xi",0.005,0.001,76,"All","KF"
"cs",0.145,0.008,77,"All","KF"
"E0",0.157,0.015,77,"All","KF"
"eta",0.117,0.005,77,"All","KF"
"psi",0.129,0.006,77,"All","KF"
"w0",0.18,0.009,77,"All","KF"
"xi",0.005,0.001,77,"All","KF"
"cs",0.146,0.008,78,"All","KF"
"E0",0.158,0.014,78,"All","KF"
"eta",0.117,0.005,78,"All","KF"
"psi",0.128,0.006,78,"All","KF"
"w0",0.18,0.009,78,"All","KF"
"xi",0.005,0.001,78,"All","KF"
"cs",0.146,0.008,79,"All","KF"
"E0",0.156,0.014,79,"All","KF"
"eta",0.117,0.005,79,"All","KF"
"psi",0.128,0.006,79,"All","KF"
"w0",0.179,0.009,79,"All","KF"
"xi",0.005,0.001,79,"All","KF"
"cs",0.147,0.007,80,"All","KF"
"E0",0.158,0.013,80,"All","KF"
"eta",0.117,0.005,80,"All","KF"
"psi",0.128,0.004,80,"All","KF"
"w0",0.18,0.008,80,"All","KF"
"xi",0.005,0.001,80,"All","KF"
"cs",0.146,0.008,81,"All","KF"
"E0",0.157,0.013,81,"All","KF"
"eta",0.117,0.005,81,"All","KF"
"psi",0.128,0.006,81,"All","KF"
"w0",0.18,0.009,81,"All","KF"
"xi",0.005,0.001,81,"All","KF"
"cs",0.146,0.008,82,"All","KF"
"E0",0.157,0.012,82,"All","KF"
"eta",0.117,0.005,82,"All","KF"
"psi",0.128,0.005,82,"All","KF"
"w0",0.18,0.008,82,"All","KF"
"xi",0.005,0.001,82,"All","KF"
"cs",0.146,0.007,83,"All","KF"
"E0",0.157,0.013,83,"All","KF"
"eta",0.117,0.004,83,"All","KF"
"psi",0.128,0.005,83,"All","KF"
"w0",0.179,0.008,83,"All","KF"
"xi",0.005,0,83,"All","KF"
"cs",0.146,0.007,84,"All","KF"
"E0",0.157,0.012,84,"All","KF"
"eta",0.117,0.004,84,"All","KF"
"psi",0.128,0.005,84,"All","KF"
"w0",0.18,0.008,84,"All","KF"
"xi",0.005,0,84,"All","KF"
"cs",0.145,0.007,85,"All","KF"
"E0",0.158,0.01,85,"All","KF"
"eta",0.117,0.004,85,"All","KF"
"psi",0.128,0.005,85,"All","KF"
"w0",0.179,0.008,85,"All","KF"
"xi",0.005,0,85,"All","KF"
"cs",0.146,0.006,86,"All","KF"
"E0",0.156,0.012,86,"All","KF"
"eta",0.117,0.004,86,"All","KF"
"psi",0.129,0.005,86,"All","KF"
"w0",0.179,0.007,86,"All","KF"
"xi",0.005,0,86,"All","KF"
"cs",0.146,0.007,87,"All","KF"
"E0",0.156,0.012,87,"All","KF"
"eta",0.117,0.004,87,"All","KF"
"psi",0.129,0.005,87,"All","KF"
"w0",0.179,0.007,87,"All","KF"
"xi",0.005,0,87,"All","KF"
"cs",0.146,0.006,88,"All","KF"
"E0",0.157,0.011,88,"All","KF"
"eta",0.117,0.004,88,"All","KF"
"psi",0.128,0.005,88,"All","KF"
"w0",0.18,0.007,88,"All","KF"
"xi",0.005,0,88,"All","KF"
"cs",0.146,0.006,89,"All","KF"
"E0",0.157,0.011,89,"All","KF"
"eta",0.119,0.003,89,"All","KF"
"psi",0.128,0.004,89,"All","KF"
"w0",0.178,0.007,89,"All","KF"
"xi",0.005,0,89,"All","KF"
"cs",0.146,0.006,90,"All","KF"
"E0",0.157,0.01,90,"All","KF"
"eta",0.117,0.004,90,"All","KF"
"psi",0.128,0.004,90,"All","KF"
"w0",0.18,0.006,90,"All","KF"
"xi",0.005,0,90,"All","KF"
"cs",0.146,0.006,91,"All","KF"
"E0",0.158,0.009,91,"All","KF"
"eta",0.117,0.003,91,"All","KF"
"psi",0.128,0.004,91,"All","KF"
"w0",0.179,0.006,91,"All","KF"
"xi",0.005,0,91,"All","KF"
"cs",0.146,0.005,92,"All","KF"
"E0",0.157,0.01,92,"All","KF"
"eta",0.117,0.004,92,"All","KF"
"psi",0.129,0.004,92,"All","KF"
"w0",0.179,0.006,92,"All","KF"
"xi",0.005,0,92,"All","KF"
"cs",0.146,0.006,93,"All","KF"
"E0",0.158,0.009,93,"All","KF"
"eta",0.118,0.003,93,"All","KF"
"psi",0.129,0.003,93,"All","KF"
"w0",0.179,0.006,93,"All","KF"
"xi",0.005,0,93,"All","KF"
"cs",0.146,0.005,94,"All","KF"
"E0",0.157,0.009,94,"All","KF"
"eta",0.117,0.003,94,"All","KF"
"psi",0.128,0.004,94,"All","KF"
"w0",0.179,0.006,94,"All","KF"
"xi",0.005,0,94,"All","KF"
"cs",0.146,0.005,95,"All","KF"
"E0",0.157,0.009,95,"All","KF"
"eta",0.117,0.003,95,"All","KF"
"psi",0.129,0.003,95,"All","KF"
"w0",0.18,0.005,95,"All","KF"
"xi",0.005,0,95,"All","KF"
"cs",0.145,0.005,96,"All","KF"
"E0",0.158,0.008,96,"All","KF"
"eta",0.117,0.003,96,"All","KF"
"psi",0.128,0.003,96,"All","KF"
"w0",0.18,0.004,96,"All","KF"
"xi",0.005,0,96,"All","KF"
"cs",0.146,0.004,97,"All","KF"
"E0",0.157,0.007,97,"All","KF"
"eta",0.117,0.003,97,"All","KF"
"psi",0.128,0.003,97,"All","KF"
"w0",0.179,0.005,97,"All","KF"
"xi",0.005,0,97,"All","KF"
"cs",0.146,0.004,98,"All","KF"
"E0",0.157,0.007,98,"All","KF"
"eta",0.117,0.002,98,"All","KF"
"psi",0.129,0.003,98,"All","KF"
"w0",0.179,0.005,98,"All","KF"
"xi",0.005,0,98,"All","KF"
"cs",0.145,0.005,99,"All","KF"
"E0",0.157,0.007,99,"All","KF"
"eta",0.116,0.003,99,"All","KF"
"psi",0.128,0.002,99,"All","KF"
"w0",0.181,0.003,99,"All","KF"
"xi",0.005,0,99,"All","KF"
"cs",0.146,0.004,100,"All","KF"
"E0",0.157,0.007,100,"All","KF"
"eta",0.117,0.002,100,"All","KF"
"psi",0.129,0.003,100,"All","KF"
"w0",0.179,0.004,100,"All","KF"
"xi",0.005,0,100,"All","KF"
"cs",0.146,0.004,101,"All","KF"
"E0",0.158,0.005,101,"All","KF"
"eta",0.117,0.002,101,"All","KF"
"psi",0.129,0.003,101,"All","KF"
"w0",0.18,0.004,101,"All","KF"
"xi",0.005,0,101,"All","KF"
"cs",0.146,0.003,102,"All","KF"
"E0",0.157,0.005,102,"All","KF"
"eta",0.117,0.002,102,"All","KF"
"psi",0.129,0.003,102,"All","KF"
"w0",0.179,0.004,102,"All","KF"
"xi",0.005,0,102,"All","KF"
"cs",0.146,0.003,103,"All","KF"
"E0",0.157,0.005,103,"All","KF"
"eta",0.118,0.002,103,"All","KF"
"psi",0.129,0.002,103,"All","KF"
"w0",0.18,0.003,103,"All","KF"
"xi",0.005,0,103,"All","KF"
"cs",0.146,0.003,104,"All","KF"
"E0",0.157,0.004,104,"All","KF"
"eta",0.117,0.002,104,"All","KF"
"psi",0.129,0.002,104,"All","KF"
"w0",0.18,0.003,104,"All","KF"
"xi",0.005,0,104,"All","KF"
"cs",0.146,0.002,105,"All","KF"
"E0",0.157,0.004,105,"All","KF"
"eta",0.117,0.001,105,"All","KF"
"psi",0.129,0.002,105,"All","KF"
"w0",0.18,0.003,105,"All","KF"
"xi",0.005,0,105,"All","KF"
"cs",0.146,0.001,106,"All","KF"
"E0",0.157,0.003,106,"All","KF"
"eta",0.117,0.001,106,"All","KF"
"psi",0.128,0.001,106,"All","KF"
"w0",0.18,0.002,106,"All","KF"
"xi",0.005,0,106,"All","KF"
"cs",0.146,0.002,107,"All","KF"
"E0",0.157,0.001,107,"All","KF"
"eta",0.118,0.001,107,"All","KF"
"psi",0.129,0.001,107,"All","KF"
"w0",0.18,0.001,107,"All","KF"
"xi",0.005,0,107,"All","KF"
"cs",0.146,0,108,"All","KF"
"E0",0.157,0,108,"All","KF"
"eta",0.117,0,108,"All","KF"
"psi",0.129,0,108,"All","KF"
"w0",0.18,0,108,"All","KF"
"xi",0.005,0,108,"All","KF"
"C",0.001,0.001,2,"All","Random"
"cs",0.154,0.117,2,"All","Random"
"eta",0.003,0.004,2,"All","Random"
"C",0.001,0.001,3,"All","Random"
"cs",0.199,0.078,3,"All","Random"
"eta",0.003,0.004,3,"All","Random"
"C",0.001,0.001,4,"All","Random"
"cs",0.187,0.069,4,"All","Random"
"eta",0.002,0.003,4,"All","Random"
"C",0.001,0.001,5,"All","Random"
"cs",0.2,0.059,5,"All","Random"
"eta",0.003,0.003,5,"All","Random"
"C",0.001,0.001,6,"All","Random"
"cs",0.201,0.053,6,"All","Random"
"eta",0.003,0.003,6,"All","Random"
"C",0.001,0.001,7,"All","Random"
"cs",0.201,0.046,7,"All","Random"
"eta",0.003,0.003,7,"All","Random"
"C",0.001,0,8,"All","Random"
"cs",0.182,0.024,8,"All","Random"
"eta",0.004,0.003,8,"All","Random"
"C",0.001,0.001,9,"All","Random"
"cs",0.201,0.042,9,"All","Random"
"eta",0.003,0.003,9,"All","Random"
"C",0.001,0.001,10,"All","Random"
"cs",0.202,0.039,10,"All","Random"
"eta",0.003,0.003,10,"All","Random"
"C",0.001,0.001,11,"All","Random"
"cs",0.204,0.036,11,"All","Random"
"eta",0.003,0.003,11,"All","Random"
"C",0.001,0.001,12,"All","Random"
"cs",0.204,0.034,12,"All","Random"
"eta",0.004,0.003,12,"All","Random"
"C",0.001,0,13,"All","Random"
"cs",0.202,0.031,13,"All","Random"
"eta",0.003,0.003,13,"All","Random"
"C",0.001,0.001,14,"All","Random"
"cs",0.203,0.031,14,"All","Random"
"eta",0.003,0.002,14,"All","Random"
"C",0.001,0,15,"All","Random"
"cs",0.202,0.029,15,"All","Random"
"eta",0.003,0.002,15,"All","Random"
"C",0.001,0,16,"All","Random"
"cs",0.202,0.027,16,"All","Random"
"eta",0.003,0.002,16,"All","Random"
"C",0.001,0,17,"All","Random"
"cs",0.204,0.029,17,"All","Random"
"eta",0.003,0.002,17,"All","Random"
"C",0.001,0,18,"All","Random"
"cs",0.204,0.025,18,"All","Random"
"eta",0.004,0.002,18,"All","Random"
"C",0.001,0,19,"All","Random"
"cs",0.204,0.025,19,"All","Random"
"eta",0.003,0.002,19,"All","Random"
"C",0.001,0,20,"All","Random"
"cs",0.206,0.025,20,"All","Random"
"eta",0.003,0.002,20,"All","Random"
"C",0.001,0,21,"All","Random"
"cs",0.205,0.022,21,"All","Random"
"eta",0.004,0.002,21,"All","Random"
"C",0.001,0,22,"All","Random"
"cs",0.203,0.024,22,"All","Random"
"eta",0.004,0.002,22,"All","Random"
"C",0.001,0,23,"All","Random"
"cs",0.207,0.021,23,"All","Random"
"eta",0.004,0.002,23,"All","Random"
"C",0.001,0,24,"All","Random"
"cs",0.205,0.022,24,"All","Random"
"eta",0.004,0.002,24,"All","Random"
"C",0.001,0,25,"All","Random"
"cs",0.207,0.02,25,"All","Random"
"eta",0.004,0.002,25,"All","Random"
"C",0.001,0,26,"All","Random"
"cs",0.204,0.02,26,"All","Random"
"eta",0.004,0.002,26,"All","Random"
"C",0.001,0,27,"All","Random"
"cs",0.205,0.02,27,"All","Random"
"eta",0.004,0.002,27,"All","Random"
"C",0.001,0,28,"All","Random"
"cs",0.205,0.022,28,"All","Random"
"eta",0.004,0.002,28,"All","Random"
"C",0.001,0,29,"All","Random"
"cs",0.207,0.018,29,"All","Random"
"eta",0.004,0.002,29,"All","Random"
"C",0.001,0,30,"All","Random"
"cs",0.205,0.019,30,"All","Random"
"eta",0.004,0.002,30,"All","Random"
"C",0.001,0,31,"All","Random"
"cs",0.206,0.018,31,"All","Random"
"eta",0.004,0.002,31,"All","Random"
"C",0.001,0,32,"All","Random"
"cs",0.206,0.017,32,"All","Random"
"eta",0.004,0.002,32,"All","Random"
"C",0.001,0,33,"All","Random"
"cs",0.204,0.017,33,"All","Random"
"eta",0.004,0.002,33,"All","Random"
"C",0.001,0,34,"All","Random"
"cs",0.207,0.017,34,"All","Random"
"eta",0.004,0.002,34,"All","Random"
"C",0.001,0,35,"All","Random"
"cs",0.206,0.017,35,"All","Random"
"eta",0.004,0.002,35,"All","Random"
"C",0.001,0,36,"All","Random"
"cs",0.206,0.015,36,"All","Random"
"eta",0.004,0.002,36,"All","Random"
"C",0.001,0,37,"All","Random"
"cs",0.207,0.016,37,"All","Random"
"eta",0.004,0.002,37,"All","Random"
"C",0.001,0,38,"All","Random"
"cs",0.206,0.015,38,"All","Random"
"eta",0.004,0.002,38,"All","Random"
"C",0.001,0,39,"All","Random"
"cs",0.205,0.015,39,"All","Random"
"eta",0.004,0.002,39,"All","Random"
"C",0.001,0,40,"All","Random"
"cs",0.207,0.014,40,"All","Random"
"eta",0.004,0.002,40,"All","Random"
"C",0.001,0,41,"All","Random"
"cs",0.206,0.014,41,"All","Random"
"eta",0.004,0.001,41,"All","Random"
"C",0.001,0,42,"All","Random"
"cs",0.207,0.014,42,"All","Random"
"eta",0.004,0.001,42,"All","Random"
"C",0.001,0,43,"All","Random"
"cs",0.206,0.014,43,"All","Random"
"eta",0.004,0.001,43,"All","Random"
"C",0.001,0,44,"All","Random"
"cs",0.207,0.014,44,"All","Random"
"eta",0.004,0.001,44,"All","Random"
"C",0.001,0,45,"All","Random"
"cs",0.206,0.014,45,"All","Random"
"eta",0.004,0.001,45,"All","Random"
"C",0.001,0,46,"All","Random"
"cs",0.205,0.012,46,"All","Random"
"eta",0.004,0.001,46,"All","Random"
"C",0.001,0,47,"All","Random"
"cs",0.201,0.013,47,"All","Random"
"eta",0.003,0.001,47,"All","Random"
"C",0.001,0,48,"All","Random"
"cs",0.206,0.012,48,"All","Random"
"eta",0.004,0.001,48,"All","Random"
"C",0.001,0,49,"All","Random"
"cs",0.206,0.012,49,"All","Random"
"eta",0.004,0.001,49,"All","Random"
"C",0.001,0,50,"All","Random"
"cs",0.205,0.013,50,"All","Random"
"eta",0.004,0.001,50,"All","Random"
"C",0.001,0,51,"All","Random"
"cs",0.206,0.011,51,"All","Random"
"eta",0.004,0.001,51,"All","Random"
"C",0.001,0,52,"All","Random"
"cs",0.206,0.012,52,"All","Random"
"eta",0.004,0.001,52,"All","Random"
"C",0.001,0,53,"All","Random"
"cs",0.206,0.012,53,"All","Random"
"eta",0.004,0.001,53,"All","Random"
"C",0.001,0,54,"All","Random"
"cs",0.205,0.012,54,"All","Random"
"eta",0.004,0.001,54,"All","Random"
"C",0.001,0,55,"All","Random"
"cs",0.206,0.011,55,"All","Random"
"eta",0.004,0.001,55,"All","Random"
"C",0.001,0,56,"All","Random"
"cs",0.205,0.011,56,"All","Random"
"eta",0.004,0.001,56,"All","Random"
"C",0.001,0,57,"All","Random"
"cs",0.205,0.012,57,"All","Random"
"eta",0.004,0.001,57,"All","Random"
"C",0.001,0,58,"All","Random"
"cs",0.206,0.01,58,"All","Random"
"eta",0.004,0.001,58,"All","Random"
"C",0.001,0,59,"All","Random"
"cs",0.202,0.01,59,"All","Random"
"eta",0.004,0.001,59,"All","Random"
"C",0.001,0,60,"All","Random"
"cs",0.208,0.01,60,"All","Random"
"eta",0.004,0.001,60,"All","Random"
"C",0.001,0,61,"All","Random"
"cs",0.206,0.01,61,"All","Random"
"eta",0.004,0.001,61,"All","Random"
"C",0.001,0,62,"All","Random"
"cs",0.206,0.009,62,"All","Random"
"eta",0.004,0.001,62,"All","Random"
"C",0.001,0,63,"All","Random"
"cs",0.206,0.009,63,"All","Random"
"eta",0.004,0.001,63,"All","Random"
"C",0.001,0,64,"All","Random"
"cs",0.207,0.01,64,"All","Random"
"eta",0.004,0.001,64,"All","Random"
"C",0.001,0,65,"All","Random"
"cs",0.206,0.009,65,"All","Random"
"eta",0.004,0.001,65,"All","Random"
"C",0.001,0,66,"All","Random"
"cs",0.206,0.009,66,"All","Random"
"eta",0.004,0.001,66,"All","Random"
"C",0.001,0,67,"All","Random"
"cs",0.207,0.009,67,"All","Random"
"eta",0.004,0.001,67,"All","Random"
"C",0.001,0,68,"All","Random"
"cs",0.207,0.008,68,"All","Random"
"eta",0.004,0.001,68,"All","Random"
"C",0.001,0,69,"All","Random"
"cs",0.206,0.008,69,"All","Random"
"eta",0.004,0.001,69,"All","Random"
"C",0.001,0,70,"All","Random"
"cs",0.206,0.008,70,"All","Random"
"eta",0.004,0.001,70,"All","Random"
"C",0.001,0,71,"All","Random"
"cs",0.207,0.008,71,"All","Random"
"eta",0.004,0.001,71,"All","Random"
"C",0.001,0,72,"All","Random"
"cs",0.207,0.008,72,"All","Random"
"eta",0.004,0.001,72,"All","Random"
"C",0.001,0,73,"All","Random"
"cs",0.207,0.007,73,"All","Random"
"eta",0.004,0.001,73,"All","Random"
"C",0.001,0,74,"All","Random"
"cs",0.206,0.008,74,"All","Random"
"eta",0.004,0.001,74,"All","Random"
"C",0.001,0,75,"All","Random"
"cs",0.206,0.007,75,"All","Random"
"eta",0.004,0.001,75,"All","Random"
"C",0.001,0,76,"All","Random"
"cs",0.206,0.006,76,"All","Random"
"eta",0.004,0.001,76,"All","Random"
"C",0.001,0,77,"All","Random"
"cs",0.207,0.007,77,"All","Random"
"eta",0.004,0.001,77,"All","Random"
"C",0.001,0,78,"All","Random"
"cs",0.206,0.007,78,"All","Random"
"eta",0.004,0.001,78,"All","Random"
"C",0.001,0,79,"All","Random"
"cs",0.206,0.007,79,"All","Random"
"eta",0.004,0.001,79,"All","Random"
"C",0.001,0,80,"All","Random"
"cs",0.207,0.006,80,"All","Random"
"eta",0.004,0.001,80,"All","Random"
"C",0.001,0,81,"All","Random"
"cs",0.207,0.006,81,"All","Random"
"eta",0.004,0.001,81,"All","Random"
"C",0.001,0,82,"All","Random"
"cs",0.207,0.006,82,"All","Random"
"eta",0.004,0.001,82,"All","Random"
"C",0.001,0,83,"All","Random"
"cs",0.206,0.006,83,"All","Random"
"eta",0.004,0.001,83,"All","Random"
"C",0.001,0,84,"All","Random"
"cs",0.206,0.006,84,"All","Random"
"eta",0.004,0.001,84,"All","Random"
"C",0.001,0,85,"All","Random"
"cs",0.205,0.006,85,"All","Random"
"eta",0.004,0.001,85,"All","Random"
"C",0.001,0,86,"All","Random"
"cs",0.206,0.006,86,"All","Random"
"eta",0.004,0.001,86,"All","Random"
"C",0.001,0,87,"All","Random"
"cs",0.206,0.005,87,"All","Random"
"eta",0.004,0.001,87,"All","Random"
"C",0.001,0,88,"All","Random"
"cs",0.206,0.005,88,"All","Random"
"eta",0.004,0.001,88,"All","Random"
"C",0.001,0,89,"All","Random"
"cs",0.207,0.005,89,"All","Random"
"eta",0.004,0.001,89,"All","Random"
"C",0.001,0,90,"All","Random"
"cs",0.206,0.005,90,"All","Random"
"eta",0.004,0.001,90,"All","Random"
"C",0.001,0,91,"All","Random"
"cs",0.206,0.005,91,"All","Random"
"eta",0.004,0,91,"All","Random"
"C",0.001,0,92,"All","Random"
"cs",0.206,0.005,92,"All","Random"
"eta",0.004,0.001,92,"All","Random"
"C",0.001,0,93,"All","Random"
"cs",0.207,0.004,93,"All","Random"
"eta",0.004,0,93,"All","Random"
"C",0.001,0,94,"All","Random"
"cs",0.206,0.004,94,"All","Random"
"eta",0.004,0,94,"All","Random"
"C",0.001,0,95,"All","Random"
"cs",0.206,0.004,95,"All","Random"
"eta",0.004,0,95,"All","Random"
"C",0.001,0,96,"All","Random"
"cs",0.205,0.004,96,"All","Random"
"eta",0.004,0,96,"All","Random"
"C",0.001,0,97,"All","Random"
"cs",0.206,0.004,97,"All","Random"
"eta",0.004,0,97,"All","Random"
"C",0.001,0,98,"All","Random"
"cs",0.207,0.003,98,"All","Random"
"eta",0.004,0,98,"All","Random"
"C",0.001,0,99,"All","Random"
