"modelName","parName","condDiff","L_HDI","U_HDI"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_psi","LVHS-HVLS","-1.29567642406675","1.34692063447403"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVHS-HVLS","-3.61047812601082","3.76364870253331"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_xi","LVHS-HVLS","-1.82095394795077","4.31841256324099"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_E0","LVHS-HVLS","-32.2951454500154","15.1014714983013"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_w0","LVHS-HVLS","-0.641117911250359","0.294250190544586"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVHS-HVLS","-6.14028121294002","15.9159728839096"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_psi","LVHS-HVLS","-3.20713891695583","4.27292067160285"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_eta","LVHS-HVLS","-1.62456370350472","6.51801765476715"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_xi","LVHS-HVLS","-2.03363224793617","5.01744762778059"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_E0","LVHS-HVLS","-64.0697240825814","23.2512371991196"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_w0","LVHS-HVLS","-1.83303729554535","1.268683037389"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_cs","LVHS-HVLS","-15.2308959672562","41.8113991700732"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVHS-HVLS","-3.89782511918103","6.61138995154416"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_C","LVHS-HVLS","-15.6169051367478","14.0780021889286"
"m4_C_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVHS-HVLS","-78.8061792921692","82.3476409014075"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_E0","LVHS-HVHS","0.00195241925139755","3.12442908440203"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_alpha","LVHS-HVHS","-1.0122525191508","0.130166752678341"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_gam","LVHS-HVHS","-1.82061793913952","4.43075568611555"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVHS-HVHS","-61.0651185489816","30.8799516100215"
"m1_RL_sliced2_halfStudentT_reparam_confEs_norm","sigma_cs","LVHS-HVHS","-17.4414188858849","11.5756711157973"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_E0","LVHS-HVHS","-0.0753833927804832","1.32677912577626"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_alpha","LVHS-HVHS","-2.18652673230924","4.91210990592977"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_eta","LVHS-HVHS","-53.8163260445065","49.2129587179032"
"m1_RL_sliced2_halfStudentT_reparam_confEs_np_norm","sigma_cs","LVHS-HVHS","-37.2982446558783","34.6761679009177"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_eps","LVHS-HVHS","-2.92194598061758","0.852976624177887"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_psi","LVHS-HVHS","-1.87008610640519","1.34009073936808"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_eta","LVHS-HVHS","-3.10966473853922","4.04161795149291"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_xi","LVHS-HVHS","-1.77433834500455","4.35342256851307"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","sigma_E0","LVHS-HVHS","-33.2571289977441","16.8469471273712"
