"modelName","parName","value","se_mean","sd","Rhat","vol","stoch","cond"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_cs",0.977492082157397,0.641141867448474,0.00737168312035737,1.00047468818121,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eps",1.11370983093149,0.504067928567003,0.00541642781601801,1.00064643496935,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_eta",0.0324713316141936,0.0316667633040517,0.000223642441791271,0.999885342781939,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_alpha",0.746207862389704,0.0348381160759277,0.000294747099170985,1.0000414491023,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_gam",0.211855032874324,0.0281332637627512,0.000220774082684861,0.999961671390466,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_final_w",4.02686620939264,1.47276314788887,0.0108245698808419,0.999856762462912,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_psi",1.0825211447469,0.519660728159017,0.00534166644768418,0.999946418558498,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_w0",0.261048757381396,0.218234366303209,0.00162306500532899,0.999981469145047,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_norm","mu_xi",3.00422209808877,0.807635418496174,0.0143458964064574,1.00093184177933,"L","L","LVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_E0",0.890785059304302,0.651933554844187,0.00360519177644479,1.00018847214833,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_avg_alpha",0.584571209834888,0.0383262149253016,0.00144102556460715,1.008199017857,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_cs",0.640148492523984,0.394644944616161,0.00328667169236564,0.999969227945647,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_eta",0.182461922268703,0.36557041183469,0.0540998129898322,1.08244475127527,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_alpha",0.586928281435026,0.037740445561396,0.00113091065809344,1.00617542612824,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_w",2.213107677527,1.02671456441497,0.0326923130668715,1.00629130548451,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_psi",0.806565569918873,0.521200292491395,0.00600170125538594,1.00072095838194,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_w0",0.480157032554228,0.529585434548358,0.0541126289008241,1.03937123153153,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_xi",3.41674576258716,0.764565567319911,0.010423463073622,1.00004299267292,"H","H","HVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_E0",0.87507254247787,0.637348459281344,0.00380143299051508,0.999979964565924,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_avg_alpha",0.56515192298317,0.041945184273621,0.000398172324421519,1.00027819362385,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_cs",1.57237738020497,0.818415271036982,0.0109567256683463,1.0006217118595,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_eta",0.788897598366968,0.539573129321919,0.00918326750588902,1.00078959785955,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_alpha",0.56910293608333,0.0420617324968464,0.00038246389122228,1.00024296992771,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_w",2.33156134121827,0.941546626478497,0.00720250411335061,1.00005046882022,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_psi",0.75984263788962,0.536053262767078,0.00780467091170236,1.00091107049454,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_w0",0.685809818350232,0.482826283997501,0.00455307377517215,0.999895428851964,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_xi",3.47948572154918,0.781651949855447,0.013255804721164,1.00197143379624,"H","L","HVLS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_E0",0.902026247649824,0.646398273170802,0.00387353020389145,1.00002542625495,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_avg_alpha",0.598963400247116,0.0353583990281687,0.000298002158681305,0.999995912698466,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_cs",1.3932442511242,0.792714463712988,0.00710682191221167,1.0000994278973,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_eta",0.0362076276219529,0.0501160712675912,0.000462667869533497,1.00025903944698,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_alpha",0.606080383271902,0.0352712786331276,0.0002910396778197,0.999998928570307,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_final_w",3.26213162427632,1.76664263457968,0.0136145599829646,1.00011214443355,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_psi",0.665702042999834,0.565529194865914,0.00661800611927084,1.00010391028158,"L","H","LVHS"
"m2_KF_sliced2_halfStudentT_reparam_confEs_np_norm","mu_w0",0.243262183839429,0.26165604586929,0.00220613897938699,1.0000337775626,"L","H","LVHS"
